Invoice_ID,Invoice_Date,Customer_Name,Invoice_Type,Contract_ID,Contract_Status,Contract_End_Date,Amount,Status,Notes
INV00022,2024-03-15,XYZ Ltd,Auto,,No Contract,,54262,Pending,Auto-generated from system
INV00023,2024-01-01,ABC Corp,Auto,CON727,Active,2024-12-31 00:00:00,65016,Overdue,High value client
INV00024,2024-03-10,LMN Pvt,Auto,CON324,Expired,2024-03-15 00:00:00,23545,Overdue,Recurring billing
INV00025,2024-02-01,ABC Corp,Manual,CON596,Expiring,2024-03-31 00:00:00,72003,Pending,High value client
INV00026,2024-01-02,LMN Pvt,Auto,CON180,Expired,2024-03-15 00:00:00,36736,Pending,Manual invoice for adhoc work
INV00027,2024-02-23,DEF Ltd,Manual,,No Contract,,56717,Pending,Adjustment entry
INV00028,2024-02-13,XYZ Ltd,Manual,CON346,Expired,2024-03-15 00:00:00,22688,Overdue,Late payment expected
INV00029,2024-01-24,DEF Ltd,Manual,,No Contract,,99045,Overdue,High value client
INV00030,2024-01-16,ABC Corp,Auto,CON425,Active,2024-12-31 00:00:00,59811,Overdue,Contract billing
INV00031,2024-01-19,XYZ Ltd,Auto,,No Contract,,21411,Overdue,Contract billing
INV00032,2024-02-02,XYZ Ltd,Manual,CON572,Expiring,2024-03-31 00:00:00,57254,Overdue,Late payment expected
INV00033,2024-02-11,LMN Pvt,Auto,CON445,Active,2024-12-31 00:00:00,26371,Paid,Manual invoice for adhoc work
INV00034,2024-01-01,GHI Corp,Manual,CON259,Expired,2024-03-15 00:00:00,82694,Paid,Auto-generated from system
INV00035,2024-01-19,LMN Pvt,Manual,,No Contract,,69040,Overdue,Auto-generated from system
INV00036,2024-03-12,PQR Inc,Manual,CON353,Expired,2024-03-15 00:00:00,12557,Paid,Recurring billing
INV00037,2024-01-25,DEF Ltd,Manual,CON437,Expiring,2024-03-31 00:00:00,12869,Overdue,Urgent invoice
INV00038,2024-03-01,ABC Corp,Manual,,No Contract,,33328,Pending,Adjustment entry
INV00039,2024-02-17,PQR Inc,Manual,CON234,Expired,2024-03-15 00:00:00,96416,Paid,Urgent invoice
INV00040,2024-03-16,LMN Pvt,Auto,CON121,Expiring,2024-03-31 00:00:00,89909,Pending,Adjustment entry
INV00041,2024-02-20,GHI Corp,Manual,CON325,Active,2024-12-31 00:00:00,64045,Paid,Contract billing
INV00042,2024-03-04,ABC Corp,Auto,CON915,Expired,2024-03-15 00:00:00,66835,Overdue,Urgent invoice
INV00043,2024-02-18,ABC Corp,Manual,,No Contract,,53484,Pending,Adjustment entry
INV00044,2024-01-06,LMN Pvt,Manual,CON379,Active,2024-12-31 00:00:00,10301,Paid,High value client
INV00045,2024-02-29,ABC Corp,Manual,CON260,Expired,2024-03-15 00:00:00,36641,Paid,Manual invoice for adhoc work
INV00046,2024-02-23,XYZ Ltd,Auto,CON891,Expiring,2024-03-31 00:00:00,82991,Overdue,Late payment expected
INV00047,2024-01-23,XYZ Ltd,Auto,CON485,Expiring,2024-03-31 00:00:00,76320,Paid,Auto-generated from system
INV00048,2024-02-12,GHI Corp,Manual,CON781,Expired,2024-03-15 00:00:00,59689,Overdue,Manual invoice for adhoc work
INV00049,2024-01-25,DEF Ltd,Manual,CON924,Active,2024-12-31 00:00:00,12368,Pending,Urgent invoice
INV00050,2024-01-14,PQR Inc,Auto,CON191,Expiring,2024-03-31 00:00:00,88657,Overdue,High value client
INV00051,2024-03-26,LMN Pvt,Auto,CON289,Active,2024-12-31 00:00:00,32677,Pending,Manual invoice for adhoc work
INV00052,2024-03-26,ABC Corp,Manual,CON882,Expiring,2024-03-31 00:00:00,25338,Paid,Auto-generated from system
INV00053,2024-01-08,DEF Ltd,Manual,CON104,Expired,2024-03-15 00:00:00,97235,Pending,Adjustment entry
INV00054,2024-02-16,LMN Pvt,Auto,CON755,Active,2024-12-31 00:00:00,27019,Pending,Late payment expected
INV00055,2024-01-19,ABC Corp,Manual,CON703,Expiring,2024-03-31 00:00:00,35945,Paid,Manual invoice for adhoc work
INV00056,2024-03-02,ABC Corp,Manual,CON157,Expiring,2024-03-31 00:00:00,26896,Overdue,Manual invoice for adhoc work
INV00057,2024-02-17,ABC Corp,Manual,,No Contract,,13343,Paid,High value client
INV00058,2024-03-04,DEF Ltd,Manual,,No Contract,,83666,Pending,Urgent invoice
INV00059,2024-02-20,DEF Ltd,Manual,CON319,Active,2024-12-31 00:00:00,54078,Paid,Late payment expected
INV00060,2024-03-02,PQR Inc,Auto,CON317,Expiring,2024-03-31 00:00:00,45247,Paid,High value client
INV00061,2024-02-02,GHI Corp,Manual,CON861,Expiring,2024-03-31 00:00:00,89605,Paid,Contract billing
INV00062,2024-02-03,PQR Inc,Auto,CON758,Expiring,2024-03-31 00:00:00,19823,Paid,Urgent invoice
INV00063,2024-03-09,DEF Ltd,Manual,CON435,Expired,2024-03-15 00:00:00,40977,Paid,Contract billing
INV00064,2024-02-01,LMN Pvt,Manual,CON789,Expired,2024-03-15 00:00:00,45195,Paid,Auto-generated from system
INV00065,2024-03-01,LMN Pvt,Auto,,No Contract,,48304,Pending,Recurring billing
INV00066,2024-02-13,DEF Ltd,Auto,CON401,Expiring,2024-03-31 00:00:00,37350,Paid,Manual invoice for adhoc work
INV00067,2024-01-08,DEF Ltd,Manual,CON517,Expired,2024-03-15 00:00:00,30358,Pending,Adjustment entry
INV00068,2024-03-15,DEF Ltd,Manual,,No Contract,,70692,Paid,Auto-generated from system
INV00069,2024-02-05,XYZ Ltd,Auto,,No Contract,,57295,Overdue,Auto-generated from system
INV00070,2024-02-05,XYZ Ltd,Auto,,No Contract,,69031,Overdue,Late payment expected
INV00071,2024-02-06,PQR Inc,Auto,CON378,Active,2024-12-31 00:00:00,78450,Paid,Late payment expected
INV00072,2024-01-17,ABC Corp,Manual,CON828,Expiring,2024-03-31 00:00:00,76234,Overdue,Auto-generated from system
INV00073,2024-01-12,DEF Ltd,Auto,,No Contract,,79896,Overdue,Contract billing
INV00074,2024-03-18,PQR Inc,Auto,CON243,Active,2024-12-31 00:00:00,99112,Overdue,Adjustment entry
INV00075,2024-02-22,ABC Corp,Auto,CON141,Expiring,2024-03-31 00:00:00,21174,Pending,High value client
INV00076,2024-01-05,LMN Pvt,Auto,CON942,Expiring,2024-03-31 00:00:00,82267,Paid,Manual invoice for adhoc work
INV00077,2024-02-27,PQR Inc,Auto,CON618,Expiring,2024-03-31 00:00:00,56732,Pending,Auto-generated from system
INV00078,2024-02-19,LMN Pvt,Manual,CON128,Active,2024-12-31 00:00:00,64693,Overdue,Urgent invoice
INV00079,2024-03-05,GHI Corp,Manual,CON426,Active,2024-12-31 00:00:00,11324,Pending,Contract billing
INV00080,2024-01-31,LMN Pvt,Auto,CON266,Expired,2024-03-15 00:00:00,35289,Pending,Recurring billing
INV00081,2024-02-08,GHI Corp,Auto,CON853,Expiring,2024-03-31 00:00:00,40355,Paid,High value client
INV00082,2024-02-08,ABC Corp,Auto,CON289,Active,2024-12-31 00:00:00,38016,Paid,Urgent invoice
INV00083,2024-02-02,GHI Corp,Auto,,No Contract,,46395,Paid,Urgent invoice
INV00084,2024-02-14,DEF Ltd,Auto,,No Contract,,71642,Paid,Contract billing
INV00085,2024-01-19,PQR Inc,Auto,CON332,Active,2024-12-31 00:00:00,48413,Overdue,High value client
INV00086,2024-01-01,DEF Ltd,Manual,CON755,Expired,2024-03-15 00:00:00,34504,Overdue,Contract billing
INV00087,2024-03-14,GHI Corp,Manual,CON472,Expiring,2024-03-31 00:00:00,56427,Pending,Urgent invoice
INV00088,2024-02-27,PQR Inc,Manual,CON968,Active,2024-12-31 00:00:00,14835,Overdue,Late payment expected
INV00089,2024-03-03,ABC Corp,Auto,CON823,Active,2024-12-31 00:00:00,45547,Paid,Adjustment entry
INV00090,2024-02-15,LMN Pvt,Auto,,No Contract,,66178,Paid,High value client
INV00091,2024-01-25,XYZ Ltd,Manual,,No Contract,,33793,Overdue,Adjustment entry
INV00092,2024-01-05,ABC Corp,Manual,,No Contract,,18415,Overdue,Auto-generated from system
INV00093,2024-01-11,DEF Ltd,Manual,CON953,Expired,2024-03-15 00:00:00,82474,Paid,Adjustment entry
INV00094,2024-02-02,XYZ Ltd,Auto,CON484,Active,2024-12-31 00:00:00,50943,Overdue,Late payment expected
INV00095,2024-03-21,DEF Ltd,Auto,,No Contract,,90642,Paid,High value client
INV00096,2024-02-22,DEF Ltd,Manual,,No Contract,,23456,Paid,Late payment expected
INV00097,2024-03-13,GHI Corp,Auto,,No Contract,,27100,Pending,Auto-generated from system
INV00098,2024-02-01,XYZ Ltd,Manual,CON650,Expiring,2024-03-31 00:00:00,68017,Pending,Late payment expected
INV00099,2024-01-03,LMN Pvt,Manual,,No Contract,,83963,Paid,Late payment expected
INV00100,2024-02-26,ABC Corp,Manual,CON306,Active,2024-12-31 00:00:00,49764,Pending,Manual invoice for adhoc work
INV00101,2024-03-15,LMN Pvt,Auto,CON863,Expiring,2024-03-31 00:00:00,16949,Pending,Manual invoice for adhoc work
INV00102,2024-03-22,GHI Corp,Auto,CON546,Expiring,2024-03-31 00:00:00,93251,Paid,Late payment expected
INV00103,2024-03-28,PQR Inc,Manual,CON662,Active,2024-12-31 00:00:00,49811,Pending,Urgent invoice
INV00104,2024-01-17,XYZ Ltd,Auto,CON168,Expiring,2024-03-31 00:00:00,83477,Paid,Manual invoice for adhoc work
INV00105,2024-03-17,GHI Corp,Auto,CON982,Expired,2024-03-15 00:00:00,27144,Overdue,High value client
INV00106,2024-03-20,LMN Pvt,Manual,CON459,Active,2024-12-31 00:00:00,93807,Overdue,Recurring billing
INV00107,2024-02-01,XYZ Ltd,Auto,CON502,Active,2024-12-31 00:00:00,97044,Pending,Contract billing
INV00108,2024-02-11,DEF Ltd,Manual,CON612,Active,2024-12-31 00:00:00,26907,Pending,Late payment expected
INV00109,2024-02-03,ABC Corp,Manual,CON172,Expiring,2024-03-31 00:00:00,20488,Overdue,Auto-generated from system
INV00110,2024-03-26,GHI Corp,Auto,,No Contract,,62796,Paid,Manual invoice for adhoc work
INV00111,2024-02-05,ABC Corp,Manual,,No Contract,,60428,Overdue,High value client
INV00112,2024-02-25,GHI Corp,Manual,CON177,Expiring,2024-03-31 00:00:00,26748,Pending,Late payment expected
INV00113,2024-02-28,LMN Pvt,Auto,CON849,Expired,2024-03-15 00:00:00,48638,Paid,Manual invoice for adhoc work
INV00114,2024-02-07,LMN Pvt,Auto,CON730,Active,2024-12-31 00:00:00,20267,Pending,High value client
INV00115,2024-02-26,ABC Corp,Auto,CON225,Active,2024-12-31 00:00:00,13596,Paid,Contract billing
INV00116,2024-01-10,LMN Pvt,Auto,CON210,Expired,2024-03-15 00:00:00,36069,Pending,High value client
INV00117,2024-01-08,ABC Corp,Manual,CON524,Active,2024-12-31 00:00:00,72981,Pending,Urgent invoice
INV00118,2024-02-28,LMN Pvt,Auto,CON476,Active,2024-12-31 00:00:00,37285,Paid,Late payment expected
INV00119,2024-03-10,PQR Inc,Manual,CON929,Expiring,2024-03-31 00:00:00,23918,Overdue,Auto-generated from system
INV00120,2024-01-03,LMN Pvt,Auto,CON647,Expired,2024-03-15 00:00:00,26389,Pending,Contract billing
INV00121,2024-03-15,PQR Inc,Auto,,No Contract,,94471,Pending,Recurring billing
INV00122,2024-03-02,ABC Corp,Manual,CON491,Expiring,2024-03-31 00:00:00,56514,Paid,Contract billing
INV00123,2024-01-05,GHI Corp,Manual,CON886,Active,2024-12-31 00:00:00,55587,Paid,Contract billing
INV00124,2024-02-16,ABC Corp,Manual,,No Contract,,52533,Paid,Late payment expected
INV00125,2024-01-11,PQR Inc,Auto,CON772,Expiring,2024-03-31 00:00:00,69383,Pending,Adjustment entry
INV00126,2024-01-23,XYZ Ltd,Manual,CON267,Expiring,2024-03-31 00:00:00,44387,Paid,High value client
INV00127,2024-03-13,ABC Corp,Auto,CON649,Expired,2024-03-15 00:00:00,46258,Pending,High value client
INV00128,2024-02-18,DEF Ltd,Manual,,No Contract,,52929,Pending,Adjustment entry
INV00129,2024-03-15,ABC Corp,Manual,CON646,Active,2024-12-31 00:00:00,15415,Pending,Contract billing
INV00130,2024-03-04,DEF Ltd,Manual,,No Contract,,68596,Pending,Contract billing
INV00131,2024-01-30,LMN Pvt,Auto,CON950,Expired,2024-03-15 00:00:00,10077,Pending,Late payment expected
INV00132,2024-01-04,ABC Corp,Auto,CON501,Expired,2024-03-15 00:00:00,39287,Pending,Urgent invoice
INV00133,2024-02-20,DEF Ltd,Manual,CON674,Expired,2024-03-15 00:00:00,19184,Paid,Auto-generated from system
INV00134,2024-03-06,GHI Corp,Auto,,No Contract,,14018,Overdue,Recurring billing
INV00135,2024-03-10,GHI Corp,Auto,CON653,Expired,2024-03-15 00:00:00,81324,Paid,Contract billing
INV00136,2024-01-27,PQR Inc,Auto,CON196,Active,2024-12-31 00:00:00,74484,Overdue,High value client
INV00137,2024-02-02,GHI Corp,Manual,CON621,Active,2024-12-31 00:00:00,53872,Pending,Late payment expected
INV00138,2024-01-13,PQR Inc,Auto,CON795,Expired,2024-03-15 00:00:00,30103,Paid,Adjustment entry
INV00139,2024-02-16,PQR Inc,Manual,,No Contract,,26478,Overdue,Recurring billing
INV00140,2024-02-05,PQR Inc,Manual,CON168,Expired,2024-03-15 00:00:00,24153,Pending,Late payment expected
INV00141,2024-03-12,XYZ Ltd,Manual,CON317,Active,2024-12-31 00:00:00,83319,Pending,Manual invoice for adhoc work
INV00142,2024-03-29,ABC Corp,Auto,,No Contract,,37306,Paid,Urgent invoice
INV00143,2024-02-06,XYZ Ltd,Auto,CON477,Active,2024-12-31 00:00:00,96066,Paid,Late payment expected
INV00144,2024-02-09,ABC Corp,Manual,,No Contract,,44560,Pending,Adjustment entry
INV00145,2024-01-21,XYZ Ltd,Manual,CON924,Active,2024-12-31 00:00:00,63173,Overdue,Recurring billing
INV00146,2024-02-09,DEF Ltd,Auto,CON236,Expiring,2024-03-31 00:00:00,49224,Paid,Manual invoice for adhoc work
INV00147,2024-02-10,LMN Pvt,Auto,CON701,Expired,2024-03-15 00:00:00,83509,Pending,High value client
INV00148,2024-03-22,LMN Pvt,Manual,,No Contract,,16783,Overdue,Recurring billing
INV00149,2024-02-20,GHI Corp,Manual,CON279,Expiring,2024-03-31 00:00:00,29956,Paid,Auto-generated from system
INV00150,2024-01-29,LMN Pvt,Manual,CON981,Active,2024-12-31 00:00:00,37696,Overdue,Auto-generated from system
INV00151,2024-03-24,ABC Corp,Auto,CON441,Expired,2024-03-15 00:00:00,85452,Paid,High value client
INV00152,2024-01-01,DEF Ltd,Manual,,No Contract,,34442,Overdue,Late payment expected
INV00153,2024-02-01,GHI Corp,Auto,CON576,Expiring,2024-03-31 00:00:00,82847,Overdue,Manual invoice for adhoc work
INV00154,2024-01-01,GHI Corp,Auto,CON293,Expiring,2024-03-31 00:00:00,48000,Pending,Late payment expected
INV00155,2024-02-07,LMN Pvt,Auto,CON363,Active,2024-12-31 00:00:00,22342,Overdue,Recurring billing
INV00156,2024-02-01,XYZ Ltd,Manual,,No Contract,,62603,Paid,High value client
INV00157,2024-02-24,PQR Inc,Manual,,No Contract,,91244,Paid,Auto-generated from system
INV00158,2024-03-07,LMN Pvt,Auto,CON153,Active,2024-12-31 00:00:00,95230,Paid,Recurring billing
INV00159,2024-02-20,ABC Corp,Manual,CON517,Expired,2024-03-15 00:00:00,44911,Pending,Urgent invoice
INV00160,2024-02-15,LMN Pvt,Manual,CON264,Expiring,2024-03-31 00:00:00,96925,Overdue,High value client
INV00161,2024-02-17,XYZ Ltd,Auto,CON772,Expired,2024-03-15 00:00:00,70500,Overdue,Urgent invoice
INV00162,2024-01-19,PQR Inc,Auto,CON613,Active,2024-12-31 00:00:00,33236,Overdue,Manual invoice for adhoc work
INV00163,2024-01-02,LMN Pvt,Auto,CON631,Active,2024-12-31 00:00:00,43572,Pending,Urgent invoice
INV00164,2024-01-09,XYZ Ltd,Auto,CON599,Expiring,2024-03-31 00:00:00,27771,Paid,Manual invoice for adhoc work
INV00165,2024-01-30,LMN Pvt,Manual,CON835,Active,2024-12-31 00:00:00,38529,Overdue,Auto-generated from system
INV00166,2024-01-14,ABC Corp,Manual,CON380,Expired,2024-03-15 00:00:00,33752,Pending,Late payment expected
INV00167,2024-01-04,XYZ Ltd,Manual,,No Contract,,84532,Overdue,Late payment expected
INV00168,2024-01-18,DEF Ltd,Manual,CON133,Active,2024-12-31 00:00:00,32180,Paid,Late payment expected
INV00169,2024-03-16,DEF Ltd,Manual,CON126,Active,2024-12-31 00:00:00,91182,Pending,Recurring billing
INV00170,2024-02-09,XYZ Ltd,Manual,CON920,Expired,2024-03-15 00:00:00,69052,Paid,Manual invoice for adhoc work
INV00171,2024-03-25,PQR Inc,Manual,CON675,Expiring,2024-03-31 00:00:00,48709,Overdue,Auto-generated from system
INV00172,2024-02-20,DEF Ltd,Manual,,No Contract,,63276,Paid,Recurring billing
INV00173,2024-02-09,LMN Pvt,Manual,,No Contract,,34762,Overdue,Urgent invoice
INV00174,2024-02-23,XYZ Ltd,Auto,CON857,Expiring,2024-03-31 00:00:00,99399,Paid,Manual invoice for adhoc work
INV00175,2024-02-05,PQR Inc,Auto,CON590,Active,2024-12-31 00:00:00,34058,Paid,Recurring billing
INV00176,2024-03-13,XYZ Ltd,Manual,CON812,Active,2024-12-31 00:00:00,64912,Paid,Adjustment entry
INV00177,2024-02-12,XYZ Ltd,Auto,CON230,Expiring,2024-03-31 00:00:00,44020,Overdue,Late payment expected
INV00178,2024-01-12,LMN Pvt,Auto,CON916,Active,2024-12-31 00:00:00,31520,Pending,Auto-generated from system
INV00179,2024-02-24,ABC Corp,Auto,CON691,Expired,2024-03-15 00:00:00,81431,Overdue,Adjustment entry
INV00180,2024-03-21,DEF Ltd,Manual,CON299,Active,2024-12-31 00:00:00,65761,Paid,Contract billing
INV00181,2024-01-15,LMN Pvt,Manual,CON637,Expired,2024-03-15 00:00:00,37935,Pending,Urgent invoice
INV00182,2024-03-11,ABC Corp,Auto,CON185,Expiring,2024-03-31 00:00:00,92310,Pending,High value client
INV00183,2024-01-07,ABC Corp,Auto,,No Contract,,93441,Overdue,High value client
INV00184,2024-03-22,GHI Corp,Manual,,No Contract,,47265,Overdue,Manual invoice for adhoc work
INV00185,2024-01-17,GHI Corp,Auto,CON719,Active,2024-12-31 00:00:00,88945,Overdue,Adjustment entry
INV00186,2024-02-12,XYZ Ltd,Auto,CON138,Expired,2024-03-15 00:00:00,16640,Paid,Late payment expected
INV00187,2024-01-25,DEF Ltd,Manual,CON592,Expiring,2024-03-31 00:00:00,84859,Pending,Manual invoice for adhoc work
INV00188,2024-02-24,LMN Pvt,Manual,,No Contract,,39430,Paid,Adjustment entry
INV00189,2024-01-18,LMN Pvt,Auto,,No Contract,,26371,Paid,Late payment expected
INV00190,2024-03-02,DEF Ltd,Manual,CON539,Expired,2024-03-15 00:00:00,20616,Pending,Late payment expected
INV00191,2024-01-25,PQR Inc,Auto,,No Contract,,95680,Overdue,Adjustment entry
INV00192,2024-01-14,GHI Corp,Manual,CON392,Active,2024-12-31 00:00:00,67775,Paid,Adjustment entry
INV00193,2024-03-19,ABC Corp,Auto,CON443,Expired,2024-03-15 00:00:00,53001,Paid,Adjustment entry
INV00194,2024-02-12,PQR Inc,Manual,,No Contract,,66638,Pending,Urgent invoice
INV00195,2024-01-11,GHI Corp,Auto,,No Contract,,34262,Overdue,Urgent invoice
INV00196,2024-01-20,DEF Ltd,Auto,CON342,Active,2024-12-31 00:00:00,44157,Pending,Recurring billing
INV00197,2024-02-26,XYZ Ltd,Auto,CON358,Expiring,2024-03-31 00:00:00,91412,Paid,Late payment expected
INV00198,2024-02-16,ABC Corp,Auto,,No Contract,,28297,Paid,Adjustment entry
INV00199,2024-02-04,XYZ Ltd,Manual,CON315,Expired,2024-03-15 00:00:00,38831,Overdue,Late payment expected
INV00200,2024-01-13,DEF Ltd,Auto,CON679,Expiring,2024-03-31 00:00:00,93300,Pending,Recurring billing
INV00201,2024-02-25,LMN Pvt,Auto,CON748,Expired,2024-03-15 00:00:00,98801,Pending,Auto-generated from system
INV00202,2024-03-19,ABC Corp,Auto,,No Contract,,91121,Overdue,Late payment expected
INV00203,2024-03-12,LMN Pvt,Auto,CON553,Active,2024-12-31 00:00:00,19903,Paid,Contract billing
INV00204,2024-03-09,DEF Ltd,Auto,CON400,Expiring,2024-03-31 00:00:00,12396,Overdue,Manual invoice for adhoc work
INV00205,2024-03-07,XYZ Ltd,Manual,CON848,Active,2024-12-31 00:00:00,96231,Overdue,Urgent invoice
INV00206,2024-02-09,PQR Inc,Auto,CON915,Active,2024-12-31 00:00:00,43130,Paid,Auto-generated from system
INV00207,2024-02-22,XYZ Ltd,Manual,CON521,Expired,2024-03-15 00:00:00,73620,Overdue,Adjustment entry
INV00208,2024-02-27,ABC Corp,Auto,,No Contract,,88249,Pending,Urgent invoice
INV00209,2024-02-22,GHI Corp,Auto,CON455,Expiring,2024-03-31 00:00:00,58845,Paid,Adjustment entry
INV00210,2024-01-12,XYZ Ltd,Manual,CON766,Active,2024-12-31 00:00:00,44832,Overdue,Manual invoice for adhoc work
INV00211,2024-02-29,DEF Ltd,Auto,CON566,Expiring,2024-03-31 00:00:00,39257,Paid,Urgent invoice
INV00212,2024-03-03,PQR Inc,Manual,CON136,Active,2024-12-31 00:00:00,92197,Pending,Contract billing
INV00213,2024-03-04,ABC Corp,Manual,CON985,Active,2024-12-31 00:00:00,30953,Overdue,Manual invoice for adhoc work
INV00214,2024-02-19,GHI Corp,Manual,CON815,Expired,2024-03-15 00:00:00,97266,Paid,Contract billing
INV00215,2024-01-07,DEF Ltd,Auto,,No Contract,,41598,Overdue,Urgent invoice
INV00216,2024-02-20,LMN Pvt,Manual,CON581,Expiring,2024-03-31 00:00:00,23025,Paid,Contract billing
INV00217,2024-03-21,LMN Pvt,Auto,,No Contract,,78878,Overdue,Adjustment entry
INV00218,2024-01-29,LMN Pvt,Manual,,No Contract,,88797,Pending,Recurring billing
INV00219,2024-01-27,LMN Pvt,Auto,,No Contract,,43756,Paid,High value client
INV00220,2024-03-20,DEF Ltd,Auto,,No Contract,,73416,Paid,Recurring billing
INV00221,2024-01-01,XYZ Ltd,Manual,,No Contract,,86961,Paid,Recurring billing
INV00222,2024-03-04,ABC Corp,Auto,,No Contract,,36385,Overdue,Contract billing
INV00223,2024-03-20,LMN Pvt,Manual,CON756,Active,2024-12-31 00:00:00,78916,Overdue,Recurring billing
INV00224,2024-02-15,XYZ Ltd,Manual,CON448,Active,2024-12-31 00:00:00,15655,Pending,Recurring billing
INV00225,2024-01-20,GHI Corp,Auto,CON305,Expired,2024-03-15 00:00:00,21536,Pending,Contract billing
INV00226,2024-03-24,PQR Inc,Auto,CON930,Expiring,2024-03-31 00:00:00,15109,Paid,Adjustment entry
INV00227,2024-01-02,LMN Pvt,Manual,CON171,Active,2024-12-31 00:00:00,36589,Pending,Late payment expected
INV00228,2024-02-07,LMN Pvt,Auto,,No Contract,,61195,Pending,Auto-generated from system
INV00229,2024-01-08,LMN Pvt,Manual,,No Contract,,85304,Paid,Contract billing
INV00230,2024-02-15,GHI Corp,Manual,CON772,Expiring,2024-03-31 00:00:00,84663,Pending,Contract billing
INV00231,2024-01-02,ABC Corp,Auto,,No Contract,,93869,Paid,Adjustment entry
INV00232,2024-01-26,GHI Corp,Auto,CON970,Expiring,2024-03-31 00:00:00,60861,Pending,Manual invoice for adhoc work
INV00233,2024-01-15,XYZ Ltd,Manual,CON404,Expired,2024-03-15 00:00:00,67660,Overdue,Recurring billing
INV00234,2024-01-06,ABC Corp,Manual,CON322,Active,2024-12-31 00:00:00,74881,Pending,Contract billing
INV00235,2024-03-02,PQR Inc,Manual,CON482,Expired,2024-03-15 00:00:00,56163,Pending,Manual invoice for adhoc work
INV00236,2024-01-22,XYZ Ltd,Auto,CON908,Expiring,2024-03-31 00:00:00,46877,Overdue,Manual invoice for adhoc work
INV00237,2024-01-12,PQR Inc,Auto,CON342,Expiring,2024-03-31 00:00:00,41890,Overdue,Late payment expected
INV00238,2024-02-14,DEF Ltd,Auto,CON387,Expired,2024-03-15 00:00:00,99899,Pending,Late payment expected
INV00239,2024-01-18,LMN Pvt,Manual,CON411,Active,2024-12-31 00:00:00,70315,Pending,Recurring billing
INV00240,2024-02-04,DEF Ltd,Auto,CON306,Active,2024-12-31 00:00:00,40027,Paid,Late payment expected
INV00241,2024-03-25,XYZ Ltd,Auto,,No Contract,,57908,Pending,Contract billing
INV00242,2024-02-29,XYZ Ltd,Auto,CON716,Expiring,2024-03-31 00:00:00,41860,Pending,Urgent invoice
INV00243,2024-03-06,XYZ Ltd,Manual,CON854,Expired,2024-03-15 00:00:00,55241,Pending,Adjustment entry
INV00244,2024-01-12,LMN Pvt,Auto,CON120,Expired,2024-03-15 00:00:00,67056,Overdue,Manual invoice for adhoc work
INV00245,2024-01-08,PQR Inc,Manual,CON397,Expiring,2024-03-31 00:00:00,98397,Pending,High value client
INV00246,2024-02-06,DEF Ltd,Manual,CON417,Expiring,2024-03-31 00:00:00,80135,Overdue,Auto-generated from system
INV00247,2024-03-24,XYZ Ltd,Auto,CON990,Active,2024-12-31 00:00:00,77649,Overdue,Adjustment entry
INV00248,2024-01-05,ABC Corp,Manual,CON775,Active,2024-12-31 00:00:00,62233,Overdue,Late payment expected
